conversion_id,user_id,click_id,impression_id,conversion_time,conversion_type,revenue,product_cost,attribution_type
1,1,1.0,40286,2024-03-21 05:00:00,purchase,2.7606532591110127,1.2814441813413078,click
2,92,20.0,78329,2024-03-27 14:00:00,purchase,18.259058573882697,7.537599289529251,click
3,136,34.0,18514,2024-02-18 03:00:00,purchase,63.1321458316273,32.682395104387695,click
4,295,73.0,16713,2024-03-18 23:00:00,purchase,15.713214019009534,7.457857930323525,click
5,300,75.0,37104,2024-02-01 13:00:00,purchase,68.84380528568802,21.490977264264142,click
6,402,101.0,25852,2024-01-22 21:00:00,purchase,66.91894663367229,29.363240295732393,click
7,405,102.0,55832,2024-02-06 00:00:00,purchase,28.892567416337414,15.530533005638306,click
8,414,104.0,41319,2024-02-27 13:00:00,purchase,10.191166242914333,3.8366716911191125,click
9,508,118.0,77539,2024-02-03 02:00:00,purchase,17.867324277074456,8.081016377659665,click
10,562,130.0,7507,2024-03-05 00:00:00,purchase,10.519426652599144,3.9849107612479178,click
11,583,133.0,10787,2024-03-28 17:00:00,purchase,16.020610361988282,9.287596319030392,click
12,722,170.0,47366,2024-01-14 01:00:00,purchase,60.295289093336585,28.899257607114883,click
13,786,186.0,55665,2024-03-05 12:00:00,purchase,41.858193876934564,13.123660837566367,click
14,820,193.0,96107,2024-01-06 11:00:00,purchase,38.50889050143922,13.361651190440416,click
15,870,207.0,16371,2024-03-17 11:00:00,purchase,14.894682763685697,7.74800809067798,click
16,934,222.0,14421,2024-01-28 12:00:00,purchase,38.27894168273319,16.174613691117262,click
17,960,233.0,33568,2024-02-17 15:00:00,purchase,59.950699120966355,33.06340041579585,click
18,1000,241.0,16633,2024-01-22 21:00:00,purchase,11.150942945640312,4.7637036464086275,click
19,1018,248.0,21705,2024-03-23 22:00:00,purchase,64.18094456472764,25.500386951323392,click
20,1051,256.0,23693,2024-03-30 10:00:00,purchase,26.234618274671558,13.28745695316711,click
21,1080,262.0,74140,2024-04-01 06:00:00,purchase,35.23757344735386,18.708696950716572,click
22,1090,265.0,2600,2024-01-31 08:00:00,purchase,19.939950512709963,9.808479797062477,click
23,1092,266.0,55491,2024-02-20 07:00:00,purchase,30.02176485527755,9.456052776355094,click
24,1100,270.0,98465,2024-03-26 19:00:00,purchase,89.6415455685018,40.3509334447175,click
25,1141,282.0,97090,2024-02-21 13:00:00,purchase,61.66668071862112,20.98880714266881,click
26,1146,283.0,57034,2024-02-09 07:00:00,purchase,9.973175118555378,4.371975055893957,click
27,1261,313.0,98081,2024-01-26 12:00:00,purchase,35.935078076866944,11.85802168551597,click
28,1262,314.0,71315,2024-01-26 20:00:00,purchase,71.11306100979401,23.37755662575516,click
29,1317,324.0,1891,2024-03-02 01:00:00,purchase,1.013794395889514,0.515418212839546,click
30,1410,346.0,319,2024-03-11 03:00:00,purchase,21.207792081195404,10.794971607372178,click
31,1486,365.0,74218,2024-01-25 12:00:00,purchase,120.35867686056356,35.84887747534631,click
32,1553,377.0,36159,2024-02-29 09:00:00,purchase,13.526731461705953,4.644220020669,click
33,1602,387.0,34012,2024-03-27 16:00:00,purchase,67.2177394984174,38.24415761958803,click
34,1653,407.0,10755,2024-03-13 05:00:00,purchase,7.486984566355113,4.067100921403945,click
35,1712,420.0,13017,2024-01-11 10:00:00,purchase,56.93904810797588,28.374649637242523,click
36,1853,456.0,14440,2024-02-13 18:00:00,purchase,35.642946499446076,15.172168526466454,click
37,1855,458.0,64026,2024-01-31 18:00:00,purchase,27.849837756267934,14.827581602176025,click
38,1895,462.0,47936,2024-01-15 23:00:00,purchase,28.73650878817009,14.661022379958016,click
39,1902,465.0,55951,2024-01-14 01:00:00,purchase,3.093163187473428,1.4740067788831566,click
40,1903,467.0,53890,2024-02-25 04:00:00,purchase,8.486407409656056,2.6226072969772307,click
41,1916,474.0,22206,2024-02-18 18:00:00,purchase,39.94152057345252,17.795208148300073,click
42,1927,475.0,97404,2024-02-11 22:00:00,purchase,14.70439610710185,7.30497659814068,click
43,1974,487.0,39535,2024-02-06 22:00:00,purchase,13.033603732546378,5.423534655145541,click
44,2011,494.0,49700,2024-02-15 04:00:00,purchase,48.341985687158704,20.242122203755052,click
45,2019,500.0,91239,2024-01-10 05:00:00,purchase,15.846003186495725,6.59696319775386,click
46,2028,503.0,25853,2024-04-01 15:00:00,purchase,10.461523609997892,5.666254878065079,click
47,2053,510.0,34399,2024-03-11 10:00:00,purchase,15.520843097341709,7.184147979598067,click
48,2074,517.0,15321,2024-01-04 11:00:00,purchase,30.938769962142448,14.405290570230578,click
49,2098,524.0,2357,2024-03-17 13:00:00,purchase,24.87838569466789,10.593703430498373,click
50,2144,536.0,1085,2024-03-03 23:00:00,purchase,26.71492173197341,11.73625670447985,click
51,2198,548.0,20096,2024-03-26 16:00:00,purchase,5.5864549160001244,2.3506504438487665,click
52,2215,553.0,24159,2024-02-22 23:00:00,purchase,102.34554800030887,36.86695952863297,click
53,2233,557.0,74711,2024-02-12 00:00:00,purchase,56.41025596878846,25.73737306939447,click
54,2295,574.0,59187,2024-02-04 08:00:00,purchase,60.805202611779485,19.60775706290556,click
55,2300,576.0,89422,2024-03-24 19:00:00,purchase,26.610426513027857,13.648408069344544,click
56,2325,582.0,51699,2024-03-06 20:00:00,purchase,15.833685940965797,5.856460456969804,click
57,2328,583.0,23405,2024-01-09 04:00:00,purchase,21.470271194395494,10.034503456581803,click
58,2347,590.0,60169,2024-01-23 09:00:00,purchase,83.15463512035431,18.80501550486572,click
59,2368,596.0,74536,2024-02-09 00:00:00,purchase,2.8970754618570718,1.2642389060664527,click
60,2393,603.0,32412,2024-03-01 01:00:00,purchase,22.530038819491924,12.139023197766113,click
61,2528,637.0,93153,2024-01-09 05:00:00,purchase,21.03613424100849,11.57082053392538,click
62,2530,639.0,32427,2024-01-29 10:00:00,purchase,36.06807266778629,17.53483821146209,click
63,2541,644.0,39698,2024-02-28 22:00:00,purchase,7.045102581578764,3.0324149797963647,click
64,2574,647.0,25457,2024-03-20 04:00:00,purchase,9.52313304625339,4.157484687706451,click
65,2581,651.0,55087,2024-03-01 10:00:00,purchase,4.507803322998587,2.4504120125478486,click
66,2656,672.0,91058,2024-01-02 07:00:00,purchase,17.593010917609313,9.344931003538921,click
67,2666,675.0,22125,2024-01-17 22:00:00,purchase,66.43638938394186,27.05939211054939,click
68,2678,683.0,25102,2024-01-09 08:00:00,purchase,4.844210097182213,2.636660952447018,click
69,2710,691.0,31598,2024-01-21 13:00:00,purchase,46.73873311574722,22.662040561160826,click
70,2725,696.0,67503,2024-02-16 12:00:00,purchase,24.482912996711317,11.666191444722685,click
71,2738,699.0,14786,2024-01-04 18:00:00,purchase,10.64692689280354,4.516458784643119,click
72,2765,705.0,27033,2024-02-07 14:00:00,purchase,29.336549890624408,10.325412506354406,click
73,2785,707.0,54213,2024-01-18 14:00:00,purchase,26.249631509482107,10.034359120468684,click
74,2787,708.0,98419,2024-01-27 17:00:00,purchase,42.79653731323823,15.077900776088976,click
75,2793,710.0,12674,2024-03-13 18:00:00,purchase,18.610109492247663,8.718797466001664,click
76,2825,715.0,42232,2024-03-23 08:00:00,purchase,3.332398221958577,1.9491577328294833,click
77,2861,728.0,44461,2024-02-25 14:00:00,purchase,26.45803608221439,12.7176148155198,click
78,2887,731.0,90015,2024-04-01 18:00:00,purchase,24.74051846163998,11.077474800225549,click
79,2888,732.0,73223,2024-02-15 02:00:00,purchase,47.23301976443534,18.85433844788447,click
80,2945,744.0,6811,2024-01-27 02:00:00,purchase,47.54524337631911,23.33653186733435,click
81,2980,751.0,8022,2024-03-10 10:00:00,purchase,38.449210345930446,15.18970459591343,click
82,3013,755.0,56340,2024-01-14 11:00:00,purchase,47.39694481822031,20.934035501978446,click
83,3016,757.0,68581,2024-02-08 18:00:00,purchase,24.95638331711726,16.02227641553315,click
84,3057,771.0,76474,2024-01-25 18:00:00,purchase,15.339104624984994,7.038952292148486,click
85,3059,772.0,78611,2024-03-06 21:00:00,purchase,18.550905795488763,5.615514324341421,click
86,3072,777.0,88947,2024-03-12 23:00:00,purchase,42.40207203502726,17.687102986565865,click
87,3079,779.0,44066,2024-01-19 12:00:00,purchase,60.95002860290156,26.15808374614395,click
88,3083,780.0,28429,2024-02-28 15:00:00,purchase,98.66879164073549,49.58493159467497,click
89,3219,818.0,75797,2024-01-06 08:00:00,purchase,21.21870824324063,10.926817183444946,click
90,3269,826.0,45074,2024-02-28 15:00:00,purchase,4.087216371645766,1.9000552291944595,click
91,3299,831.0,50136,2024-01-23 03:00:00,purchase,6.442335109049078,2.858060240265663,click
92,3309,835.0,75730,2024-01-26 17:00:00,purchase,26.747490766402027,10.186242712573993,click
93,3310,836.0,38500,2024-01-27 03:00:00,purchase,14.546324847559093,5.512027370061905,click
94,3390,858.0,34502,2024-01-15 20:00:00,purchase,17.54917728772828,9.082390482197232,click
95,3392,859.0,881,2024-03-01 04:00:00,purchase,18.195758239909996,8.767777659997476,click
96,3402,862.0,57270,2024-02-25 05:00:00,purchase,57.61553889060996,28.046498020286165,click
97,3514,887.0,7464,2024-03-28 11:00:00,purchase,64.31902731808326,18.330481113644744,click
98,3708,930.0,80814,2024-02-25 21:00:00,purchase,3.0604073557415976,1.5288826846124246,click
99,3779,949.0,25410,2024-02-26 06:00:00,purchase,31.290211972722034,10.254779143144612,click
100,3784,951.0,4573,2024-01-11 03:00:00,purchase,15.158349751608364,7.426052462495494,click
101,3801,954.0,20618,2024-01-08 18:00:00,purchase,19.498882484842962,7.760226200119966,click
102,3814,958.0,42192,2024-03-05 20:00:00,purchase,40.34694392974351,10.893880268176627,click
103,3871,980.0,69904,2024-02-12 09:00:00,purchase,10.810042306659088,4.763126792193077,click
104,3904,986.0,16367,2024-03-22 07:00:00,purchase,49.34689146046064,21.721319180649036,click
105,3905,987.0,12489,2024-03-15 16:00:00,purchase,54.03694776034836,17.80442116797466,click
106,3923,991.0,34171,2024-02-13 07:00:00,purchase,49.93867624683063,19.523723827389322,click
107,3958,998.0,10851,2024-03-30 22:00:00,purchase,30.63175691229797,15.696015400727505,click
108,3977,1002.0,54406,2024-03-30 20:00:00,purchase,2.045153724750696,0.9684089017864994,click
109,4110,1040.0,70972,2024-03-27 22:00:00,purchase,14.306335165067575,5.4666782201028425,click
110,4139,1048.0,93090,2024-04-01 22:00:00,purchase,37.17178675705394,17.145925304595902,click
111,4168,1058.0,32857,2024-01-24 00:00:00,purchase,61.20042258080693,30.41664196239028,click
112,4209,1071.0,59155,2024-02-04 16:00:00,purchase,30.377236410372007,14.607492406343203,click
113,4212,1072.0,63242,2024-02-18 16:00:00,purchase,4.100653062418766,2.33909288282489,click
114,4235,1076.0,74192,2024-02-15 12:00:00,purchase,49.08957485352182,24.539577086507194,click
115,4285,1091.0,48499,2024-02-09 00:00:00,purchase,22.477808049250694,10.086014594232797,click
116,4301,1097.0,40356,2024-03-19 04:00:00,purchase,39.8786067657026,16.69076701134942,click
117,4301,1098.0,32711,2024-03-23 20:00:00,purchase,51.95537712953452,18.841443046795074,click
118,4318,1103.0,7419,2024-02-01 10:00:00,purchase,124.0985646669427,54.078249740051,click
119,4326,1107.0,63664,2024-02-23 03:00:00,purchase,8.789587709711228,4.737212898102572,click
120,4351,1115.0,9766,2024-03-10 01:00:00,purchase,13.54451949075497,4.984549500090471,click
121,4373,1125.0,66012,2024-01-31 09:00:00,purchase,7.784993694938426,3.6271538782170203,click
122,4428,1139.0,60592,2024-03-15 16:00:00,purchase,24.442515911792157,11.612818701839258,click
123,4530,1172.0,31435,2024-02-23 06:00:00,purchase,28.940807625448798,14.332623972078393,click
124,4576,1179.0,35112,2024-02-22 00:00:00,purchase,39.65870652275853,14.342805113705372,click
125,4577,1180.0,19809,2024-03-07 19:00:00,purchase,33.60664788192419,15.148423695575568,click
126,4596,1184.0,80900,2024-02-21 01:00:00,purchase,34.66031015511178,16.22712906024295,click
127,4601,1187.0,17546,2024-01-16 03:00:00,purchase,32.37593493206913,11.074445762954852,click
128,4659,1206.0,84029,2024-01-23 11:00:00,purchase,9.857116946273436,4.834543121963753,click
129,4743,1224.0,50233,2024-01-22 06:00:00,purchase,22.87615955059062,13.382724299183863,click
130,4820,1245.0,36427,2024-01-19 13:00:00,purchase,21.010525169997145,7.98232256231213,click
131,4822,1247.0,40091,2024-01-31 08:00:00,purchase,28.661637821745934,13.819471071480184,click
132,4830,1249.0,16257,2024-03-21 17:00:00,purchase,17.417610455871873,7.614104616684963,click
133,4877,1258.0,84634,2024-02-19 20:00:00,purchase,77.02854743901713,44.68155823152679,click
134,4894,1261.0,45014,2024-02-29 21:00:00,purchase,18.279925202375363,5.22166165199058,click
135,5009,1304.0,13129,2024-02-10 15:00:00,purchase,46.74025111930688,23.467150406264594,click
136,5039,1307.0,37289,2024-01-29 17:00:00,purchase,69.53456988016397,36.73253924796362,click
137,5050,1312.0,98558,2024-01-29 01:00:00,purchase,1.853397673607006,0.3828996700785224,click
138,5124,1332.0,20186,2024-03-16 00:00:00,purchase,23.547908745148185,12.2118271813913,click
139,5143,1335.0,70879,2024-02-17 21:00:00,purchase,18.83608256797591,9.84051240944413,click
140,5214,1363.0,67502,2024-03-11 16:00:00,purchase,27.709952639498518,13.602747516850538,click
141,5240,1371.0,60126,2024-03-07 20:00:00,purchase,7.368773789598662,3.833957589651533,click
142,5352,1413.0,99659,2024-03-20 01:00:00,purchase,16.57828533292753,6.677976186740723,click
143,5367,1419.0,3380,2024-02-12 09:00:00,purchase,7.974603407237575,3.6849658866176696,click
144,5415,1434.0,67209,2024-02-13 03:00:00,purchase,43.93464625249269,15.456300063438265,click
145,5433,1444.0,7565,2024-01-05 01:00:00,purchase,22.1549164181569,10.148534155058435,click
146,5480,1456.0,27779,2024-03-10 01:00:00,purchase,9.944075067087907,4.6349755904616154,click
147,5490,1457.0,35208,2024-03-29 05:00:00,purchase,8.313489043784143,3.9446257693899565,click
148,5514,1463.0,52203,2024-03-13 18:00:00,purchase,18.258128019110085,7.8819330066377695,click
149,5694,1506.0,18081,2024-03-10 22:00:00,purchase,9.732988483159017,4.283134461048309,click
150,5736,1520.0,71233,2024-02-02 16:00:00,purchase,25.29881979544519,8.757544751587503,click
151,5774,1527.0,57285,2024-03-09 15:00:00,purchase,72.28684913952077,22.352938136960756,click
152,5856,1537.0,167,2024-02-09 10:00:00,purchase,18.73355066882987,9.294608907218946,click
153,5902,1547.0,47357,2024-01-31 05:00:00,purchase,15.793722380869859,6.960958824207466,click
154,5910,1549.0,24709,2024-02-22 11:00:00,purchase,16.892777468242667,8.305449925248451,click
155,5913,1550.0,14499,2024-01-14 15:00:00,purchase,81.88560590743153,25.345628161582194,click
156,6176,1603.0,14490,2024-02-16 03:00:00,purchase,29.6196548655411,11.37091232560707,click
157,6207,1608.0,40173,2024-03-18 01:00:00,purchase,33.2348476436494,17.785869428069084,click
158,6239,1612.0,49241,2024-01-20 07:00:00,purchase,24.799638297012226,12.098688347481174,click
159,6277,1622.0,41063,2024-01-17 23:00:00,purchase,26.10038798650349,13.542087972819699,click
160,6303,1633.0,28022,2024-01-08 12:00:00,purchase,13.589310574801994,6.9205813028862675,click
161,6307,1635.0,90580,2024-01-12 00:00:00,purchase,14.757946662690399,5.033233215953744,click
162,6343,1641.0,88309,2024-02-14 06:00:00,purchase,9.659230262923026,4.471027539813147,click
163,6350,1643.0,90264,2024-02-10 04:00:00,purchase,5.819312326911796,2.670353950161028,click
164,6410,1656.0,18884,2024-03-05 21:00:00,purchase,13.165733636111334,5.299919124272137,click
165,6466,1662.0,66624,2024-01-22 02:00:00,purchase,48.84734343603388,26.21338670838676,click
166,6479,1669.0,91186,2024-02-09 18:00:00,purchase,3.4838871038744856,1.2285429948229716,click
167,6498,1673.0,68028,2024-01-24 18:00:00,purchase,54.98486984650591,28.807182527224093,click
168,6563,1689.0,27231,2024-03-04 14:00:00,purchase,6.626266979742429,2.553538613844553,click
169,6582,1695.0,37162,2024-01-04 00:00:00,purchase,41.86147932201845,22.2786899631668,click
170,6588,1699.0,80512,2024-01-14 22:00:00,purchase,14.650010331743152,8.34578695689537,click
171,6589,1701.0,87144,2024-02-29 00:00:00,purchase,100.96702721304543,50.60059248979651,click
172,6590,1703.0,13940,2024-03-11 17:00:00,purchase,35.225747383897314,7.0624427602206605,click
173,6608,1708.0,60420,2024-03-05 16:00:00,purchase,3.3678193219437476,1.4538423235192286,click
174,6622,1713.0,18138,2024-03-14 02:00:00,purchase,11.600513892879034,4.919940147840534,click
175,6671,1726.0,95704,2024-03-21 07:00:00,purchase,45.85544133280587,19.94919536885865,click
176,6703,1737.0,11290,2024-02-28 12:00:00,purchase,61.50804643326294,31.899589274881528,click
177,6711,1740.0,83446,2024-03-23 10:00:00,purchase,31.502149797959135,11.310854661204964,click
178,6721,1746.0,77920,2024-03-19 17:00:00,purchase,79.86101907703237,31.79486838932182,click
179,6774,1760.0,17086,2024-01-12 20:00:00,purchase,26.063351310496984,10.520158620459812,click
180,6861,1774.0,56836,2024-03-08 17:00:00,purchase,38.12040639370104,18.016302069431447,click
181,6881,1780.0,20262,2024-02-28 22:00:00,purchase,49.60100845157694,25.427769125975196,click
182,6906,1790.0,24510,2024-03-21 17:00:00,purchase,26.716872062949562,9.348134093595581,click
183,6971,1809.0,78401,2024-03-01 09:00:00,purchase,39.333462178673564,16.04192620751547,click
184,6978,1812.0,66568,2024-01-14 16:00:00,purchase,17.622778947960718,7.448707961760617,click
185,6985,1815.0,96597,2024-03-14 17:00:00,purchase,29.648896190888575,13.722080824696357,click
186,7046,1840.0,22184,2024-03-29 14:00:00,purchase,47.612315016724594,10.050952424713644,click
187,7054,1844.0,28992,2024-01-25 07:00:00,purchase,22.151897021125745,11.78228115937147,click
188,7060,1849.0,1429,2024-01-19 12:00:00,purchase,15.112047485620831,6.217727627269137,click
189,7066,1851.0,42006,2024-02-03 10:00:00,purchase,11.744810515004675,2.9071012354929233,click
190,7068,1853.0,98325,2024-01-22 22:00:00,purchase,22.048402771434645,8.795045832342893,click
191,7105,1861.0,46905,2024-03-26 06:00:00,purchase,28.616568273033785,13.23458587425676,click
192,7112,1863.0,13206,2024-02-16 10:00:00,purchase,47.662425455985804,11.850747181353444,click
193,7159,1874.0,223,2024-02-10 21:00:00,purchase,55.39357604168602,18.258407342837888,click
194,7197,1883.0,979,2024-02-19 03:00:00,purchase,5.937999200303169,3.331993287709333,click
195,7209,1884.0,20265,2024-01-29 17:00:00,purchase,8.56631956642511,4.61937977157072,click
196,7263,1896.0,98699,2024-03-15 23:00:00,purchase,28.76726287478761,17.139866985144696,click
197,7313,1906.0,57762,2024-01-16 21:00:00,purchase,10.678537031780492,5.222519170512013,click
198,7322,1907.0,38602,2024-01-25 03:00:00,purchase,40.25822501660279,15.482022323356636,click
199,7329,1908.0,47288,2024-01-19 15:00:00,purchase,22.331374542972014,11.61849728332987,click
200,7335,1913.0,27728,2024-03-08 19:00:00,purchase,6.670267987815219,1.8165785390769986,click
201,7350,1918.0,15072,2024-02-11 14:00:00,purchase,5.811999089703599,1.735486481896129,click
202,7352,1919.0,46659,2024-01-22 08:00:00,purchase,5.132751394609854,1.62074093954575,click
203,7375,1926.0,36623,2024-01-12 09:00:00,purchase,56.47099604653518,19.626926367444195,click
204,7384,1930.0,15382,2024-01-23 19:00:00,purchase,30.8131919521764,13.858619897437082,click
205,7393,1932.0,73426,2024-01-13 14:00:00,purchase,6.478039531399605,3.591688655463001,click
206,7400,1935.0,7262,2024-02-11 09:00:00,purchase,40.76927614213149,23.81177117349081,click
207,7402,1938.0,98314,2024-03-10 04:00:00,purchase,36.15352660528596,18.052917509268745,click
208,7403,1939.0,40124,2024-03-14 08:00:00,purchase,5.258634904822128,2.174172561958798,click
209,7453,1948.0,53961,2024-03-11 13:00:00,purchase,13.782678308379156,6.200583459635732,click
210,7556,1966.0,66402,2024-03-02 14:00:00,purchase,7.853893686215466,2.1236377424156276,click
211,7613,1981.0,8390,2024-03-05 20:00:00,purchase,79.14103335624608,41.70135633848305,click
212,7619,1983.0,30966,2024-01-28 21:00:00,purchase,19.451066714472578,9.950070988823475,click
213,7649,1987.0,99581,2024-02-12 20:00:00,purchase,22.81129338236558,4.562258676473117,click
214,7741,2004.0,35275,2024-01-25 23:00:00,purchase,11.395419959207278,4.045297977700088,click
215,7772,2014.0,93011,2024-03-17 22:00:00,purchase,31.920449617233704,16.98708953676141,click
216,7776,2017.0,88721,2024-03-03 21:00:00,purchase,34.10201080831715,11.161683383491994,click
217,7902,2045.0,34721,2024-02-20 10:00:00,purchase,19.75084829745434,8.67538040730717,click
218,7920,2048.0,95376,2024-03-07 23:00:00,purchase,27.131803266619205,13.17795441820767,click
219,7927,2052.0,96558,2024-03-02 20:00:00,purchase,67.86756489004108,36.71463879873789,click
220,7994,2066.0,41224,2024-01-08 08:00:00,purchase,59.92317488012321,28.23777125000977,click
221,8080,2089.0,33174,2024-01-10 12:00:00,purchase,34.69745595559401,17.741207961052126,click
222,8096,2095.0,9483,2024-02-08 22:00:00,purchase,13.087317271734433,5.869729441712832,click
223,8116,2101.0,95072,2024-01-03 22:00:00,purchase,19.259130771692423,5.059748371762819,click
224,8187,2117.0,28525,2024-01-21 05:00:00,purchase,82.49300356122504,39.46691496706317,click
225,8293,2145.0,32548,2024-01-07 10:00:00,purchase,65.67429399748649,34.17150970839108,click
226,8315,2152.0,50314,2024-03-27 06:00:00,purchase,18.624526773392507,8.5807676698709,click
